"","pop_name","year","pw.hy"
"1","TOT_POP",1999,1.96045701889998
"2","White",1999,1.95069215085386
"3","Black",1999,2.32828963010317
"4","Native",1999,1.08038811245695
"5","Asian",1999,1.28123704255228
"6","Pacific",1999,0.868379823227609
"7","Hispanic",1999,1.05488623531963
"8","TOT_POP",2000,1.69801248109836
"9","White",2000,1.68462341699675
"10","Black",2000,2.05533340444028
"11","Native",2000,0.908181172682915
"12","Asian",2000,1.10002604603906
"13","Pacific",2000,0.74142300788962
"14","Hispanic",2000,0.86660526130419
"15","TOT_POP",2001,1.6741873852186
"16","White",2001,1.66948925411348
"17","Black",2001,1.96628815192942
"18","Native",2001,0.876463032759596
"19","Asian",2001,1.10997755336075
"20","Pacific",2001,0.721893621244906
"21","Hispanic",2001,0.828215407770416
"22","TOT_POP",2002,1.54375573412024
"23","White",2002,1.53096400425498
"24","Black",2002,1.85875287015031
"25","Native",2002,0.875207102712673
"26","Asian",2002,1.0450744958693
"27","Pacific",2002,0.688350856975866
"28","Hispanic",2002,0.822957030797378
"29","TOT_POP",2003,1.39227041193182
"30","White",2003,1.38680906329683
"31","Black",2003,1.63499593779837
"32","Native",2003,0.807674735876811
"33","Asian",2003,0.958018504031668
"34","Pacific",2003,0.638090365445707
"35","Hispanic",2003,0.787933045927608
"36","TOT_POP",2004,1.37054451590198
"37","White",2004,1.35931833025166
"38","Black",2004,1.64480290051827
"39","Native",2004,0.772675146334749
"40","Asian",2004,0.967855679485133
"41","Pacific",2004,0.637618829044143
"42","Hispanic",2004,0.778753790771845
"43","TOT_POP",2005,1.51572054948232
"44","White",2005,1.50309078318475
"45","Black",2005,1.83984149681793
"46","Native",2005,0.881520684040222
"47","Asian",2005,1.01315095295468
"48","Pacific",2005,0.696578908202951
"49","Hispanic",2005,0.843925460174794
"50","TOT_POP",2006,1.50490836963778
"51","White",2006,1.49119488618629
"52","Black",2006,1.84462382415981
"53","Native",2006,0.81152757961139
"54","Asian",2006,1.00574987201885
"55","Pacific",2006,0.680748193592357
"56","Hispanic",2006,0.782204573240186
"57","TOT_POP",2007,1.49705426355296
"58","White",2007,1.48215549362352
"59","Black",2007,1.84542428066273
"60","Native",2007,0.786216919883842
"61","Asian",2007,1.00903212430164
"62","Pacific",2007,0.678331462485609
"63","Hispanic",2007,0.763692030931984
"64","TOT_POP",2008,1.10775886643508
"65","White",2008,1.09811421663309
"66","Black",2008,1.34044111072865
"67","Native",2008,0.586373189130605
"68","Asian",2008,0.796384959682673
"69","Pacific",2008,0.518818277983913
"70","Hispanic",2008,0.601037833439715
"71","TOT_POP",2009,0.77610926925891
"72","White",2009,0.776039246992595
"73","Black",2009,0.900648139778741
"74","Native",2009,0.442506841998161
"75","Asian",2009,0.542998375134081
"76","Pacific",2009,0.367451284503271
"77","Hispanic",2009,0.432984997666913
"78","TOT_POP",2010,0.630294768092756
"79","White",2010,0.626159145091263
"80","Black",2010,0.768706535207296
"81","Native",2010,0.390751138603475
"82","Asian",2010,0.434312598439403
"83","Pacific",2010,0.307759270778675
"84","Hispanic",2010,0.366693429956814
"85","TOT_POP",2011,0.602347312501496
"86","White",2011,0.60107989076031
"87","Black",2011,0.718989459490857
"88","Native",2011,0.361565863188973
"89","Asian",2011,0.420187793187777
"90","Pacific",2011,0.287172380871156
"91","Hispanic",2011,0.343200969687306
"92","TOT_POP",2012,0.385443601598471
"93","White",2012,0.387118138587064
"94","Black",2012,0.445155102277256
"95","Native",2012,0.248846468742498
"96","Asian",2012,0.266736279967449
"97","Pacific",2012,0.188778646541236
"98","Hispanic",2012,0.235630229893725
"99","TOT_POP",2013,0.334659717300707
"100","White",2013,0.335952554882891
"101","Black",2013,0.385825800654304
"102","Native",2013,0.223469355700438
"103","Asian",2013,0.236312285250702
"104","Pacific",2013,0.170750439376544
"105","Hispanic",2013,0.215630960980527
"106","TOT_POP",2014,0.312901816463661
"107","White",2014,0.314582992743346
"108","Black",2014,0.363273509416983
"109","Native",2014,0.203153058981495
"110","Asian",2014,0.21269210167924
"111","Pacific",2014,0.158196752518925
"112","Hispanic",2014,0.197670185498444
"113","TOT_POP",2015,0.203743291669726
"114","White",2015,0.205705011344618
"115","Black",2015,0.229282471157701
"116","Native",2015,0.138872532521096
"117","Asian",2015,0.143173870128551
"118","Pacific",2015,0.106590082490096
"119","Hispanic",2015,0.134416750458277
"120","TOT_POP",2016,0.131615818413617
"121","White",2016,0.133250623616287
"122","Black",2016,0.144206059900039
"123","Native",2016,0.097587654979141
"124","Asian",2016,0.0952298398474052
"125","Pacific",2016,0.0724780341734361
"126","Hispanic",2016,0.0927204674106643
"127","TOT_POP",2017,0.112865286236349
"128","White",2017,0.11401020965973
"129","Black",2017,0.12422092057625
"130","Native",2017,0.0895207248485338
"131","Asian",2017,0.0830289032290934
"132","Pacific",2017,0.0655951536161461
"133","Hispanic",2017,0.0852345368266975
"134","TOT_POP",2018,0.104805439662813
"135","White",2018,0.105960923741207
"136","Black",2018,0.1164643857736
"137","Native",2018,0.0778591481247313
"138","Asian",2018,0.075537549459671
"139","Pacific",2018,0.0585820742131005
"140","Hispanic",2018,0.0736486740230203
"141","TOT_POP",2019,0.0748923221058263
"142","White",2019,0.0757002609811687
"143","Black",2019,0.0833400046976307
"144","Native",2019,0.0532005452396624
"145","Asian",2019,0.0548388587079034
"146","Pacific",2019,0.042001220484908
"147","Hispanic",2019,0.0514669223468567
"148","TOT_POP",2020,0.0598392143893745
"149","White",2020,0.0607696933782847
"150","Black",2020,0.0647976722977749
"151","Native",2020,0.0435270278563853
"152","Asian",2020,0.0441305759869786
"153","Pacific",2020,0.0340971074599447
"154","Hispanic",2020,0.0421848047463369
